CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0174,0.9653,C0152,0.9389,C0011,0.9278
C0002,C0159,0.9374,C0007,0.9371,C0005,0.9344
C0003,C0151,0.9155,C0129,0.8968,C0006,0.8656
C0004,C0113,0.9748,C0165,0.9733,C0102,0.9686
C0005,C0159,0.9536,C0007,0.9389,C0002,0.9344
C0006,C0003,0.8656,C0129,0.8262,C0190,0.8227
C0007,C0159,0.9864,C0005,0.9389,C0002,0.9371
C0008,C0024,0.9037,C0194,0.8886,C0098,0.8704
C0009,C0119,0.9587,C0097,0.9027,C0058,0.8996
C0010,C0197,0.956,C0073,0.952,C0062,0.9217
C0011,C0107,0.9472,C0001,0.9278,C0174,0.9058
C0012,C0013,0.9678,C0195,0.9217,C0087,0.9124
C0013,C0012,0.9678,C0087,0.9184,C0126,0.862
C0014,C0063,0.9497,C0033,0.9053,C0078,0.8887
C0015,C0033,0.9672,C0058,0.9334,C0094,0.9206
C0016,C0154,0.9102,C0183,0.8925,C0116,0.8823
C0017,C0075,0.897,C0051,0.8961,C0124,0.8815
C0018,C0117,0.8968,C0026,0.8932,C0114,0.872
C0019,C0103,0.9286,C0164,0.916,C0119,0.8672
C0020,C0036,0.9404,C0050,0.894,C0080,0.8776
